mes;dia;dsem;hora;ptot;pcd0;pnin;pbus;inte;meia;grat
1;1;4;0;825;372;823;825;700;103;22
1;1;4;1;1329;748;1322;1329;1146;160;23
1;1;4;2;1055;638;1054;1055;917;125;13
1;1;4;3;1180;727;1179;1180;1036;135;9
1;1;4;4;2464;1262;2460;2462;2174;249;41
1;1;4;5;12305;6029;12169;11982;10936;1146;223
1;1;4;6;21645;10693;21228;20520;18844;2359;442
1;1;4;7;22650;11656;22165;21193;19726;2358;566
1;1;4;8;20705;11464;20366;19168;17788;2159;758
1;1;4;9;21902;12369;21655;20253;18722;2339;841
1;1;4;10;24318;13702;24082;22651;20583;2857;878
1;1;4;11;23437;12865;23174;21694;19745;2922;770
1;1;4;12;20486;11060;20239;19185;17476;2460;550
1;1;4;13;20985;11333;20699;19724;17946;2553;486
1;1;4;14;22160;12133;21870;20849;18826;2782;552
1;1;4;15;24304;13267;24016;22521;20617;3039;648
1;1;4;16;27777;14763;27424;26064;23533;3409;835
1;1;4;17;30984;15775;30522;28800;26112;3932;940
1;1;4;18;29576;14534;29012;27280;24916;3923;737
1;1;4;19;23086;10755;22570;21569;19431;3188;467
1;1;4;20;15016;7285;14637;14346;12400;2251;365
1;1;4;21;10408;4891;10163;10109;8462;1724;222
1;1;4;22;5552;2511;5423;5519;4627;853;72
1;1;4;23;1712;864;1682;1699;1511;193;8
1;2;5;0;758;328;756;716;697;58;3
1;2;5;1;533;242;530;483;498;33;2
1;2;5;2;242;108;242;242;230;11;1
1;2;5;3;231;100;229;231;213;12;6
1;2;5;4;5862;1573;5818;5779;5549;174;139
1;2;5;5;41996;12966;40617;39084;38870;2130;996
1;2;5;6;80004;26306;75577;73454;69569;8652;1783
1;2;5;7;77977;28135;73033;71173;65252;10230;2495
1;2;5;8;51503;22117;48909;45961;41640;6315;3548
1;2;5;9;46451;20622;44650;41149;36368;6126;3957
1;2;5;10;44201;19656;42460;39270;34387;5864;3950
1;2;5;11;42671;17275;40828;37902;33077;6679;2915
1;2;5;12;48591;17428;46512;43669;37553;8639;2399
1;2;5;13;50149;18945;47793;45112;40265;7557;2327
1;2;5;14;50105;19511;47815;45164;40047;7463;2595
1;2;5;15;48700;19446;46404;43512;39291;7102;2307
1;2;5;16;59151;22364;56585;53400;48771;7913;2467
1;2;5;17;80854;27620;77048;74242;68241;10539;2074
1;2;5;18;72396;24573;68182;66238;60557;10391;1448
1;2;5;19;44268;14746;41430;40475;37183;6265;820
1;2;5;20;24145;8240;22665;21874;20027;3665;453
1;2;5;21;18492;6373;17696;16894;14718;3411;363
1;2;5;22;13623;4047;13082;12893;11615;1907;101
1;2;5;23;3218;1255;3102;3152;2870;334;14
1;3;6;0;1017;502;1010;954;947;63;7
1;3;6;1;758;366;753;719;704;52;2
1;3;6;2;332;154;328;332;309;22;1
1;3;6;3;348;123;346;348;329;16;3
1;3;6;4;6123;1602;6072;5997;5783;195;145
1;3;6;5;43168;12562;41640;39891;40067;2174;927
1;3;6;6;84132;26660;79299;76365;73377;8881;1874
1;3;6;7;83184;28735;77686;75113;69289;11114;2781
1;3;6;8;56280;22739;53343;49821;45291;7171;3818
1;3;6;9;50818;21618;48632;44259;39588;6963;4267
1;3;6;10;48296;20478;46148;42208;37525;6661;4110
1;3;6;11;48493;18989;46338;42535;37569;7590;3334
1;3;6;12;53705;18696;51309;47808;41297;9669;2739
1;3;6;13;54417;20375;51872;48375;43247;8538;2632
1;3;6;14;54602;21421;52010;48477;43503;8422;2677
1;3;6;15;53657;20932;51122;47381;43489;7739;2429
1;3;6;16;68186;24913;65136;61189;56938;8775;2473
1;3;6;17;82850;28522;78768;75041;69085;11458;2307
1;3;6;18;72544;25300;68149;65728;60528;10498;1518
1;3;6;19;47452;16185;44547;42587;40180;6503;769
1;3;6;20;26404;9218;24903;23528;21922;4023;459
1;3;6;21;20140;6820;19297;18262;16010;3762;368
1;3;6;22;14591;4428;14017;13802;12421;2042;128
1;3;6;23;3252;1142;3116;3177;2841;387;24
1;4;7;0;941;424;937;913;860;70;11
1;4;7;1;763;366;754;724;704;57;2
1;4;7;2;503;243;500;503;470;30;3
1;4;7;3;459;197;457;459;429;24;6
1;4;7;4;3631;1024;3609;3596;3411;132;88
1;4;7;5;25262;7532;24494;23120;23602;1093;567
1;4;7;6;53404;18224;50760;47606;47988;4200;1216
