"mes";"dia";"dsem";"ptot";"pcd0";"pnin";"pbus";"inte";"meia";"grat"
1;1;4;385861;201696;379934;361977;328174;47219;10468
1;2;5;906121;333976;861963;822069;747488;121470;37163
1;3;6;974749;352480;925841;873897;802239;132718;39792
1;4;7;724491;274271;695601;641384;604612;95885;23994
1;5;1;472865;213584;461979;427315;391806;63996;17063
1;6;2;1083084;386882;1029843;991589;874537;164200;44347
1;7;3;1097480;377917;1041080;984417;889009;166464;42007
1;8;4;1127724;385020;1068608;1005824;910313;171584;45827
1;9;5;1105971;374318;1047137;987470;894568;169895;41508
1;10;6;1117107;384210;1058873;993972;906432;169160;41515
1;11;7;825429;315487;793426;725338;681298;117868;26263
1;12;1;491651;225888;480270;436967;405289;69916;16446
1;13;2;1122971;399246;1063937;1010314;906345;173886;42740
1;14;3;1098317;377156;1037398;976070;887035;171456;39826
1;15;4;1115330;379604;1051619;988731;902504;172930;39896
1;16;5;1104014;374551;1039448;975678;895877;169387;38750
1;17;6;1093486;375385;1030227;965390;889429;166318;37739
1;18;7;822650;318732;786959;719042;678931;119180;24539
1;19;1;536277;246676;521640;474308;439917;79449;16911
1;20;2;1140776;405203;1077446;1008826;917581;182436;40759
1;21;3;1124911;387152;1059446;993530;900480;183837;40594
1;22;4;1123848;385315;1057079;991390;896671;186215;40962
1;23;5;1106705;381783;1040019;976580;884639;182646;39420
1;24;6;1100559;388210;1034740;970406;882674;178524;39361
1;25;7;796909;316459;760416;692458;652603;120032;24274
1;26;1;479833;231283;467245;423635;391827;70910;17096
1;27;2;1135496;415289;1071422;1002638;896120;195975;43401
1;28;3;1131282;405923;1064979;997835;887084;200027;44171
1;29;4;1127647;406675;1061041;993837;883636;200392;43619
1;30;5;1085787;386746;1022126;957687;858494;187937;39356
1;31;6;1120688;398105;1056128;985906;891487;188841;40360
2;1;7;863430;325509;824598;752520;705527;131042;26861
2;2;1;517279;228663;503070;457112;421962;78491;16826
2;3;2;1230333;418589;1161677;1092230;966062;214820;49451
2;4;3;1113232;357164;1048811;992110;875986;198144;39102
2;5;4;1227357;396155;1153485;1091604;958202;219738;49417
2;6;5;1216472;387938;1142811;1079021;949509;219299;47664
2;7;6;1222506;399260;1149280;1084966;962395;213172;46939
2;8;7;855721;311490;814805;748156;699033;130717;25971
2;9;1;509195;226805;494387;450695;417697;74246;17252
2;10;2;1242459;411319;1169996;1104147;965302;230262;46895
2;11;3;1213827;385762;1139537;1078408;938077;230662;45088
2;12;4;1202080;378374;1126404;1065902;927943;229968;44169
2;13;5;1186338;371200;1112052;1053055;914702;229469;42167
2;14;6;1194500;385524;1120776;1058560;927790;224580;42130
2;15;7;853565;315668;812359;751516;692676;136087;24802
2;16;1;489856;222871;475496;433223;401402;72300;16154
2;17;2;1211769;398009;1139947;1079813;932742;235320;43707
2;18;3;1206111;383674;1131207;1076970;922501;240090;43520
2;19;4;1164720;368260;1091424;1035439;894872;230113;39735
2;20;5;1200965;383647;1125305;1064969;917062;242027;41876
2;21;6;1187901;393739;1114939;1053552;914572;232746;40583
2;22;7;857601;323546;816414;752738;689636;143782;24183
2;23;1;501446;234467;486976;445594;404229;81251;15966
2;24;2;1203609;415855;1132440;1067660;919354;241418;42837
2;25;3;1210346;412576;1135717;1075691;919499;246761;44086
2;26;4;1200751;416331;1127554;1068283;912844;244572;43335
2;27;5;1204547;426607;1131926;1066915;917706;244562;42279
2;28;6;1174769;427196;1105947;1043994;921620;211847;41302
3;1;7;641977;260623;613847;569327;540159;81349;20469
3;2;1;389731;182840;379612;355502;326738;50019;12974
3;3;2;379594;151888;366889;348320;319692;46520;13382
3;4;3;336914;135771;327231;311431;283559;42839;10516
3;5;4;672023;238682;637796;598764;564182;83384;24457
3;6;5;1193648;397544;1123554;1062946;934074;213304;46270
3;7;6;1201384;394014;1128506;1071556;942207;214283;44894
3;8;7;858638;303260;816446;755753;695701;137771;25166
3;9;1;463222;203641;449080;413420;381474;66766;14982
3;10;2;1259161;413277;1185063;1126327;975529;237799;45833
3;11;3;1253139;396482;1175814;1118424;965339;241618;46182
3;12;4;1237677;387008;1159129;1101559;951788;240800;45089
3;13;5;1208886;376534;1131662;1074989;931936;235637;41313
3;14;6;1199830;381571;1123402;1065807;933026;228146;38658
3;15;7;858621;308462;816206;752520;693834;141423;23364
3;16;1;488495;216179;473161;436767;401136;72396;14963
3;17;2;1164219;376828;1092406;1039095;911942;217236;35041
3;18;3;1219714;388493;1141969;1086645;948084;231130;40500
3;19;4;510567;186393;487046;455093;421377;73085;16105
3;20;5;1218952;389872;1141440;1089298;941440;237898;39614
3;21;6;1194816;386957;1118558;1067393;929284;228027;37505
3;22;7;825083;300503;782852;728010;664066;138451;22566
3;23;1;470624;211466;456241;420511;382727;72698;15199
3;24;2;1199729;407342;1126193;1071742;928143;232279;39307
3;25;3;470296;182099;448844;420529;384824;69679;15793
3;26;4;1235245;415952;1159249;1105787;944101;247737;43407
3;27;5;1206947;400047;1129940;1079974;922423;243849;40675
3;28;6;1180208;404003;1106557;1055795;911490;230390;38328
3;29;7;822107;313132;781258;725401;660951;138379;22777
3;30;1;236979;1;222920;211265;157981;66296;12702
3;31;2;1162652;388691;1092364;1037836;904795;224098;33759
4;1;3;1185377;374590;1110815;1056536;919137;231672;34568
